Date,Min Price,Max Price,Price
2021-09-16,138.8422010827943,148.63415653915283,143.73817881097358
2021-09-17,140.0,150.0,145.0
2021-09-18,145.0,155.0,150.0
2021-09-19,150.0,160.0,155.0
2021-09-20,151.0862296348354,160.83194688708068,155.95908826095803
2021-09-21,150.0,160.0,155.0
2021-09-22,150.0,160.0,155.0
2021-09-23,150.0,160.0,155.0
2021-09-24,146.55272273866353,162.71230933557308,154.6325160371183
2021-09-25,145.0,160.0,152.5
2021-09-26,145.0,150.0,147.5
2021-09-27,147.01302766389168,152.25603740565396,149.6345325347728
2021-09-28,150.0,160.0,155.0
2021-09-29,153.83392654498476,165.76372228767167,159.79882441632822
2021-09-30,157.28031703060367,168.72057206222283,163.00044454641323
2021-10-01,160.0,170.0,165.0
2021-10-02,160.61340575306832,169.86412853898022,165.23876714602426
2021-10-03,160.0,170.0,165.0
2021-10-04,160.0,170.0,165.0
2021-10-05,160.0,175.0,167.5
2021-10-06,165.3950175554848,177.30623153553205,171.35062454550842
2021-10-07,170.0,180.0,175.0
2021-10-08,170.0,180.0,175.0
2021-10-09,165.0,175.0,170.0
2021-10-10,165.0,175.0,170.0
2021-10-11,165.0,175.0,170.0
2021-10-12,165.0,175.0,170.0
2021-10-13,165.16765860193004,175.03418864851184,170.10092362522096
2021-10-14,165.0,175.0,170.0
2021-10-15,169.84857561094813,177.881404953185,173.86499028206657
2021-10-16,172.03017054787153,181.94887558000443,176.98952306393798
2021-10-17,175.0,185.0,180.0
2021-10-18,173.12594206085356,183.5162004896811,178.32107127526734
2021-10-19,170.0,180.0,175.0
2021-10-20,167.45324440707822,181.37681752005682,174.41503096356752
2021-10-21,170.0,185.0,177.5
2021-10-22,180.0,185.0,182.5
2021-10-23,180.0,190.0,185.0
2021-10-24,180.0,190.0,185.0
2021-10-25,180.55953883450786,194.15683380540938,187.35818631995863
2021-10-26,180.0,195.0,187.5
2021-10-27,175.0,185.0,180.0
2021-10-28,160.0,170.0,165.0
2021-10-29,156.48803396384594,166.27182727334727,161.3799306185966
2021-10-30,160.0,170.0,165.0
2021-10-31,161.25034270669943,171.20973728039476,166.2300399935471
2021-11-01,160.0,170.0,165.0
2021-11-02,155.0,165.0,160.0
2021-11-03,155.0,165.0,160.0
2021-11-04,150.0,160.0,155.0
2021-11-05,152.08226036818294,165.3350809184187,158.70867064330082
2021-11-06,152.0,170.0,161.0
2021-11-07,148.02669978626741,163.62738482031514,155.82704230329128
2021-11-08,145.0,155.0,150.0
2021-11-09,145.0,155.0,150.0
2021-11-10,155.0,165.0,160.0
2021-11-11,151.46656410407368,165.70289248636553,158.5847282952196
2021-11-12,142.64285244746395,160.25518242949087,151.44901743847743
2021-11-13,140.0,155.0,147.5
2021-11-14,150.0,160.0,155.0
2021-11-15,150.0,160.0,155.0
2021-11-16,150.42922164693553,160.16405935784172,155.29664050238864
2021-11-17,150.0,160.0,155.0
2021-11-18,150.0,160.0,155.0
2021-11-19,145.0,165.0,155.0
2021-11-20,144.6035106149312,161.45693591991332,153.03022326742226
2021-11-21,142.7017243715605,155.61555389662303,149.15863913409174
2021-11-22,140.0,150.0,145.0
2021-11-23,139.72139380788138,148.53000076268313,144.12569728528226
